zone_id,community
2,100
9,100
10,100
15,100
16,100
19,100
27,100
28,100
30,100
38,100
53,100
56,100
57,100
63,100
64,100
70,100
73,100
82,100
83,100
86,100
92,100
93,100
95,100
96,100
98,100
101,100
102,100
117,100
121,100
122,100
124,100
129,100
130,100
131,100
132,100
134,100
135,100
138,100
139,100
157,100
160,100
171,100
173,100
175,100
180,100
191,100
192,100
196,100
197,100
201,100
203,100
205,100
207,100
215,100
216,100
218,100
219,100
252,100
253,100
258,100
4,145
11,145
12,145
13,145
14,145
17,145
21,145
22,145
25,145
26,145
29,145
33,145
34,145
35,145
36,145
37,145
39,145
40,145
45,145
49,145
52,145
54,145
55,145
61,145
62,145
65,145
66,145
67,145
71,145
72,145
76,145
77,145
79,145
80,145
85,145
87,145
88,145
89,145
91,145
97,145
105,145
106,145
108,145
111,145
112,145
114,145
123,145
125,145
133,145
144,145
148,145
149,145
150,145
154,145
155,145
165,145
177,145
178,145
181,145
188,145
189,145
190,145
195,145
198,145
209,145
210,145
211,145
217,145
222,145
225,145
227,145
228,145
231,145
232,145
249,145
255,145
256,145
257,145
261,145
3,179
18,179
20,179
31,179
32,179
42,179
46,179
47,179
51,179
58,179
59,179
60,179
69,179
78,179
81,179
94,179
116,179
119,179
120,179
126,179
127,179
128,179
136,179
147,179
153,179
159,179
167,179
168,179
169,179
174,179
182,179
183,179
184,179
185,179
199,179
200,179
208,179
212,179
213,179
220,179
235,179
240,179
241,179
242,179
243,179
244,179
247,179
248,179
250,179
254,179
259,179
7,189
8,189
1,189
24,189
41,189
43,189
48,189
50,189
68,189
74,189
75,189
90,189
100,189
107,189
113,189
137,189
140,189
141,189
142,189
143,189
145,189
146,189
151,189
152,189
158,189
161,189
162,189
163,189
164,189
166,189
170,189
176,189
179,189
186,189
193,189
194,189
202,189
223,189
224,189
226,189
229,189
230,189
233,189
234,189
236,189
237,189
238,189
239,189
246,189
260,189
262,189
263,189
5,216
6,216
23,216
44,216
99,216
109,216
115,216
118,216
156,216
172,216
187,216
204,216
206,216
214,216
221,216
245,216
251,216
